nom_pmu,pere,mere,bms
SACAYA,FRAKI,ISNIA,VINCI II
MUSIC DAY,BOLERO DU COQ,VENUS DU COQ,QUIOCO
FASHIONED GIRL,SAXO DE VANDEL,MARY GIRL,QUADROPHENIO
GERMINAL,GOETMALS WOOD,PROVIDENCE,DEFI D'AUNOU
LE TROPIC,ULTIME ATOUT,OVASOTE,TIVASO P
HENNEZIS,ADAMA,OH NISA,FORT D'ORANGE
CHERGUI,MARYLAND B,OAKA,AU VENT
SHURAYK,ISPAHAN,BALIANCE,PACHA GRANDCHAMP
SANBER,IN LOVE WITH YOU,HUTTONIE DU RIB,ALPHA BARBES
WARELIA,AVE AVIS,DARELIA DE FAEL,UAUKIR
A CANNES,NOT DISTURB,GRACE DE MANNETOT,SPIRAUNOU
ALLEZ LULU,OYONNAX,LA CANELLA,BEST BOURBON
MANADA,EUGENITO DU NOYER,CYDALIA,PRINCE GEDE
GANIBET,ROSEAU GEDE,ANISETTE DES BOIS,KSAR SOURDIN
MARZOUK,VAL D'OR M,HOLA HUGUETTE,PRINCE NOIR
TWIN SCAT,VALMONT,HONDALA,RANISHKA
LOVE TRUE,BLUE TRACK,UROQUOISE,MALOUIN
TREIZIEME MOIS,NI HO PED D'OMBREE,ULTIMA D'ATOUT,KIMBERLAND
CLAIR DE LUNE,JADE BOCAIN,GIRONDE DU AVRE,KIMBERLAND
SKATHI,HUGO BARBES,ELODIA JOSSELYN,SANCHO PANCA
PLUIE D'ETOILES,HERMES DU BUISSON,ETOILE DE LA MOTTE,RITON DU GITE
LIGHTNING LEO,BATTLING JOE,VILLEURBANNE,DUC DE VRIE
VIVE LA REINE,JEAN TENDRE,KARA D'OR,SON IDYLLE P
EMPLOY,OPUS VIERVIL,FEIA,QUARISSO
L'INDOMPTABLE,SON IDYLLE P,UNABELLA,LUIZ II
FAZZANO,VARUM D'OMBREE,VARVINA,NARVIK DE LA HAIE
MARITOT,AMOUR N,EXPLOSION,HAIROS II
MONTY,OFF GY,CANDIE DE LA DOUCE,LASCO
MYSTIC CHOP,VILLAGE MYSTIC,VIDEO SAGE,GANYMEDE
BOLTHOLE,OH JAMES,DIORIMA,QUITO DE TALONAY
HOOKING,MILORD DU DAUPHIN,VERGELESSE,NISKO DU VIVIER
NARANCO,CRIN DE DONZY,HELLANZA,FUCHSIA VII
KERTEZ,OPUS DEI,BEZAREZ,QUIOCO
MASALA,NICOS DU VIVIER,EVA LUISA,LUTIN D'ISIGNY
GEORGIA,KIMBERLAND,RAZZIA,CORLAY
HARRY WAY,JOKAI,MISS TAY,BOUM III
GO FAST,LUCKY WILLIAMS,PANACHEE,HERMES D
JORIS,TANGO BARBES,TATIANA DU ROCHER,ATATURK L
FASHIONSPAN,REDLIGHT JET,ROSE LILI MARLEEN,KENOR DE COSSE
LADY MAG,VABELLINO,TENACIA,IPSON DE MORMAL
JET BLUE,ROCKLYN,MATHILDA BLUE,GAI BRILLANT
QUEEN BAY,CHIVAS,CATALIA,JIDALIUM
ISTAR,MACAR,RATONNE D,ARISTO
JORDANS,ALBERIC,UTHA DU GOUTIER,LOVE YOU
JAIM,VESUVE,SAIMA,ABNER
JACARANDA,GOETMALS WOOD,TOURS,HULK DES CHAMPS
JEANNETTE,TREIZE AVRIL F,VICTORIEUSE P,DAKOW D
HERO SENSE,UN MEC D'HERIPRE,ANNA SENSE,PRODIGIOUS
IT'S MAGIC PAN,TI PUNCH RIVER,QUELLE DU BUISSON,GANYMEDE
IN THE MIX,ULYSSE,PALROSA,REVE D'UDON
FEU DES PRES,UNICLOVE,ORIANE DES PRES,HISTORIEN
GRACIA MARIA,VERY NICE MARCEAUX,ALTA MARIA,COKTAIL JET
HONNEUR DE LA COTE,UN MEC D'HERIPRE,OMBRA MAI FU,SANCHO PANCA
GRIZZLI DE LOUCAS,OPIUM,VEGA D'HERBOIS,NI HO PED D'OMBREE
FANGIO DE KARMEL,ROLLING D'HERIPRE,ROMANCE DE KARMEL,KID WOOD
GENERAL WOOD,LOVE YOU,QUEEN OF WOOD,GOETMALS WOOD
HARLEY DU RAFHAY,OFFSHORE DREAM,QUITE GOOD,ACHILLE
BLEU CIEL,MILORD DRILL,QUELLE ACTION,AND ARIFANT
CYRIEL D'ATOM,OTELLO PIERJI,OLIGA D'ATOM,ESOTICO STAR
OLIE D'ESCAUT,AMSTRONG JET,ICI,DIAMOND WAY
FUCHSIA DE ZIETTE,KUADRO WILD,SA MAJESTE SISSI,LORD DU PIN
VERSO DE MADE,LORD DU PIN,MIRANDA,DREAM OF GOLD
POKER FACE,IDEAL DU POMMEAU,VENEZIA DE MAI,PRODIGIOUS
ISA D'HARCHIES,VILLEROI,UNE D'HARCHIES,KRAC SPECIAL
BARON DU BOURG,LILIUM MADRIK,PIN UP DU BOURG,ESPEYRAC SUN
MOJITO JP,ULEX GEDE,TORNADE DU DECLIC,INFANT DU BOSSIS
INDYRA DE MARGI,OPUS VIERVIL,BETTY LA BEZIRAIS,QUITO KEBIR
PROUD OF GMC,GIFT KRONOS,,
ORINTA S,GIMY DU POMMEREUX,CINNA DE BRIOUZE,REDLIGHT JET
ITZARIA TER BLEKTE,,RITA TER BLEKTE,HERMES PERRINE
ETE QUATORZE,LAGON,LOUDVIGA,DIAMANT GEDE
ICARUS,CALINO,BAHIA III,QUEYJA
NARBONNE S,QUITON DU CORAL,BRUYERE FLEURIE,KAOLINO
GIRL DE CHENU,KESACO PHEDO,UNIGIRL DE CHENU,BUVETIER D'AUNOU
JASMINE EV,OSVALDO BELLO,VOLKA DES CHAMPS,GAZOUILLIS
IMPERIAL DE REUX,LOVE YOU,AMAZONE BLUE,READY CASH
HIDALGO PAGUERIE,PRINCE D'ESPACE,VICTORIA PAGUERIE,PASSWORD
HAXWEL,TENOR DE BAUNE,PARALDINE,VALMONT
JOLIE PEPETTE,SEVERINO,NINON D'URZY,USTANG DE MAI
HEDEN D'ESPOIR,A NOUS TROIS,BENNDREA D'ESPOIR,QUIDO DU GOUTIER
INTO MY HEART,OURAGAN DE CELLAND,VIVE AMY,ORLANDO VICI
HARFER DANOVER,LAND DANOVER,THEODORA SAUTONNE,KESACO PHEDO
HAUSSMANN DE PLAY,ORLANDO VICI,PROVIDENCE DORTIGE,FIRST DE RETZ
O'CARBALLO,MIVUS,SISSI DU CARVALLON,ITOU VENT
PIANINO,UN HONORE,KERLYNDA DU JONC,QUARTERLY
ZOKOA,ZOLA BOKO,,
HARMONIE DE STAR,UAUKIR,RHAPSODIE LEAGABIN,KOREAN
DIVIN PROPOS,COKTAIL JET,OH HAPPY JO,BUVETIER D'AUNOU
HABEEBAH,VOUAQUIN,VALSE EN TETE,GARDE TOI
SILVY,KRONOS DU VIVIER,FUSKIA,PICARDY
BLIKSEM,MY LOVE JET,IES MARY,MAJAC
JOHN STEED,EASY DES RACQUES,KIGALA,DEFI D'AUNOU
DANTZARIA,RANCHO GEDE,SEGOVIA,CARPE DIEM
GARDEN CHOP,MARPHEULIN,LIKOA,DISSY
ELUGO,QUITO,QUINA DES HAGUES,HATIK
PAGANY,ISERIO,CALISIANE,MARTEL
DABIRADJA,NORSO,KALINA,SAPRISTI L B
MAIMOUNA,CLASSIC WAY,ELARA,QWERTY
PIANO MAN,EDROON PORT,IDYLLE DES SARTS,CYGNUS D'ODYSSEE
ARAMITZ,PAD D'URZY,JOY DE PREZ,AVENIR DE SEE
LUCIO VERO,ECLAIR DE VANDEL,EPOQUE JOYEUSE,PELOPS
FLOWER DESERT,AUXERROIS,AGATHA VEVETTE,URA
MUHEEB,TRAVEL JET,NAVAJA BLANCHE,ARNAQUEUR
HEMIAN,JAG DE BELLOUET,A LA BONNE HEURE,ORLANDO VICI
NAFJAH,NEYJA,FANFINETTE,SAMOTHRACE
AFNAAN,REVE DES VALLEES,KARA BALTIQUE,KIMBERLAND
SOLMAX,FORT D'ORANGE,LANIRA,BEAUSEJOUR II
JADAARA,AHMES,BADIARA BUISSONAY,OKWO
BECHO,JEAN,PAVILLA,AIGLE NOIR
BALEGRIO,MERAL II,HITZA,ODESSA V
AL AMBHRA,NIOUREV,PERLEZ KERVEYER,UHEL KERVEYER
CENTAURUS,PRODIGIOUS,OLYGARCHY,WORKAHOLIC (US)
LAYALINA,BIRD PARKER,BELLA ROMA,QUARO
SHANGRI LA,BUVETIER D'AUNOU,INFANTE D'OMBREE,OFF GY
KRYPTON,DISTANT BOY,SANTANA,HILLION BRILLOUARD
OXALIS,ROYAL DREAM,FLOWER BALL,SINGALO
SILVER SILENT,MILLENIUM WOOD,ELEGANCE NOBLE,QUARISSO
GALILODGE,TONKIN DE BELLOUET,LUNA DE GRAMMONT,BLUE DREAM
DEJA VUE,,APOCALYPSE NOW,INCONNU
INDIAN DEAL,QUELOGADEN,UNE VOLONTAIRE,VOLONTAIRE
GUERREIRA,VERY PLEASANT,BRASILIA DU GITE,IN LOVE WITH YOU
TRUJILLO,PEROU,ALSACE,PRINCE DES VEYS
BIRD OUT,OZIO ROYAL,QLOE TURGOT,BUVETIER D'AUNOU
MONA LISA,TABRIZ,SETINA,HERMES D
SERAPHIM,L'AS DE NEIGE,JEZABEL DE VRIE,TENOR DE BAUNE
PAPILLON CYAN,ANTAR,BOELLE,FAUST VII
DUNE VERTE,PACHA DU PONT,SOURCE MONTAVAL,GANYMEDE
ANNE DE BEAUJEU,,,
JOLI LOOK,RICARDO L T,DEVE LALA,NISUS B
VEZZANA,JET FORTUNA,POESIE DU LOISIR,QUADROPHENIO
RIVER KLASS,INTREPIDE D'AVRIL,LADOGA DELLA VEGA,TRIOMPHE DE ROZOY
JOLI COUR,RAPHAEL,CENTELLA,KINO II
ANGEL STORM,PALEO DU FRUITIER,NANA STAR,COROT
CALOTIN,PHI PHI ATOUT,DEVOTE,LUCKY WILLIAMS
BALLINSCO,KOKTAIL DE PERRON,LA LANDE,ECHO
RHUM BLEU,INGEN,INFANTILA DE MARAY,SEBRAZAC
KASH BAIE,QUIDO DU GOUTIER,UFANORA,OFFSHORE DREAM
KAMONDO,QWERTY,IRONIE JET,COKTAIL JET
LEMONCELLO,TIPOUF,DIANA DE BLIMONT,NERSINOU
SIERRA NEGRA,QUIOCO,ITIDA,SABI PAS
PACIFIC ONE,GOETMALS WOOD,AGATHA DU PONT,GRANIT (H.N.)
CAPTAIN DU BERLAIS,REDEO JOSSELYN,OCEANE DU RELAIS,PODOSIS
HAPPY DE REVE,BOOSTER WINNER,TIJUANA JET,DEFI D'AUNOU
ROMANCIA,CLASSIQUE NAY,GAVOTTE,SEIGNEUR RINGEAT
GOLD CENT,QUAKER JET,UNION VENESI,DEFI D'AUNOU
KING OF RUN,DANGEUL,ERIN,PORTICI
HOUSTON BERRY,QUADROPHENIO,VINYNKA,PRINCE DE BIZIAT
GAVROCHE BOCAIN,PRODIGIOUS,VOCALISE BOCAIN,LOVE YOU
FETARD,ROC MESLOIS,QUIVA DU RIB,FLEURON PERRINE
FANFAN DOUZOU,VERY LOOK,URUSAGORE,GOBERNADOR
EXOTIC JET,QUAKER JET,PINE APPLE JET,BUVETIER D'AUNOU
GARE A VOUS PENA,PASSWORD,UTOPIE DE TESS,LEGS DU CLOS
HARIBO DU DOME,UNIVERS DE PAN,QUALITY TURGOT,VIKING'S WAY
FRIPON D'AUTHISE,MARK SPEED,ORAISON D'OSTAL,EXTREME DREAM
HISTOIRE THORIS,JAM PRIDEM,QUELLIA LUXOR,CYGNUS D'ODYSSEE
KABOBBY SANT,USHIRO GWEN,UTAH DES VENTS,KERIDO DU DONJON
HIGH FIRE DAIRPET,TAG WOOD,BAHIA BLANCA,GOBERNADOR
HAMILTON DU HAM,RACHMANINOV SEVEN,SCARLET DU HAM,KID BLUE
KLEMPERER,OURAGAN DE CELLAND,UNE PASSION,GANYMEDE
KARAMAZOV,DRAGON DU FRESNE,CLAIRE FOUGERE,ISLERO DE BELLOUET
KEY BISCAYNE,FACE TIME BOURBON,CONQUETE A DEUX,SAM BOURBON
KANTHABELLA,DOLLAR MACKER,REINE OA,HERMES PERRINE
KENTUCKY DE PADD,MEMPHIS DU RIB,CELSA DE PADD,GIANT CAT
KOSMOS DE SOCERY,PASSWORD,VENISE WILLIAM,DEFI D'AUNOU
KARLSON PASS,ALTO DE VIETTE,VALENCE,INSERT GEDE
KASTEL VEDAQUAIS,ROYAL DREAM,CARANCA,READY CASH
KIDEA DREAM,PRODIGIOUS,ERE NOUVELLE,LOVE YOU
DAYAN WINNER,OFFSHORE DREAM,TEMPETE WINNER,JAG DE BELLOUET
DEGANAWIDAH,KAISY DREAM,SWEET CAROLINE,COKTAIL JET
KIARA DU RIED,LOVE YOU,SOPHORA DU RIED,CYGNUS D'ODYSSEE
KANDISSIME,DOLLAR MACKER,VENUS DE LA LOGE,GROS GRAIN
DUC DU LUPIN,JASMIN DE FLORE,ROSE DU LUPIN,HULK DES CHAMPS
