date_snapshot,v14,v14dutch,v14favori,v14sire,v15,v18,v110,v110dutch,v110favori,v110d4,v110sniper,v110place,v110antifav,v110snipercombine,v110ecartfaible,consensus_place,couple_harville,place,2sur4,trio,multi,2favori
2026-05-18,922.48,803.4,436.11,373.05,650.26,757.91,734.1,981.21,552.31,1034.3,967.53,1709.19,1030.49,1135.47,1236.0,821.97,955.86,470.48,-819.84,-466.25,-1.75,797.52
2026-05-25,930.7,804.37,449.41,375.07,694.31,789.77,771.16,990.46,566.56,1123.68,964.71,1731.32,1069.32,1127.52,1236.0,832.43,965.72,474.37,-827.59,-476.77,-1.74,822.52
2026-06-01,1025.53,826.2,462.5,402.44,730.14,823.05,816.95,1013.99,581.0,1186.16,969.23,1766.25,1108.09,1125.14,1236.0,852.08,980.95,481.4,-836.54,-491.63,-1.77,866.47
2026-06-08,1116.84,836.24,477.17,427.59,765.73,829.92,833.16,1033.98,592.97,1168.6,1009.33,1807.76,1130.84,1134.67,1236.0,869.77,994.92,486.74,-843.2,-497.13,-1.78,938.08
2026-06-15,1094.12,847.94,503.27,436.77,766.11,843.19,830.7,1048.34,626.75,1157.83,1003.12,1838.51,1134.87,1118.78,1236.0,901.55,985.58,490.66,-851.2,-501.6,-1.88,921.91
2026-06-22,1117.34,853.51,512.9,455.97,785.76,855.85,856.29,1059.81,661.71,1181.48,1011.59,1887.41,1164.77,1110.84,1236.0,946.49,1018.72,496.28,-860.09,-505.94,-1.93,1059.97
2026-06-29,1125.19,871.17,539.68,467.23,815.33,888.25,891.22,1098.67,696.8,1171.29,1022.88,1924.21,1189.81,1110.84,1236.0,977.23,1044.53,504.62,-868.27,-510.12,-1.96,1082.29
2026-07-06,1127.01,870.97,540.62,462.05,818.05,901.64,902.09,1096.97,703.39,1135.63,1022.88,1930.63,1202.97,1110.84,1236.0,975.43,1040.61,505.69,-870.79,-511.05,-1.96,1040.52
2026-07-13,1124.34,861.53,556.96,458.96,808.71,887.38,892.86,1096.26,715.92,1118.52,1051.13,1939.46,1193.9,1115.6,1236.0,983.63,1062.3,506.41,-875.9,-511.72,-1.96,994.25
2026-07-20,1328.45,972.57,655.81,818.21,885.57,893.06,902.41,1119.46,742.91,1142.48,1073.72,1952.71,1207.23,1110.04,1236.0,1007.38,1065.0,509.11,-888.45,-511.57,-2.03,946.4
2026-07-27,1644.2,1167.61,915.98,1246.11,1015.51,893.06,902.41,1119.46,742.91,1142.48,1073.72,1952.71,1207.23,1110.04,1236.0,1007.38,1065.0,516.0,-895.0,-507.96,-2.01,946.4
2026-08-03,1579.53,1155.43,917.43,1254.67,990.2,896.75,909.14,1131.85,752.47,1145.99,1072.02,1810.39,1210.98,1112.43,1236.0,1014.19,1065.0,501.62,-895.0,-507.0,-2.0,908.47
2026-08-10,1612.92,1164.8,918.3,1278.4,1018.47,915.39,923.67,1152.8,757.21,1192.52,1083.88,1622.88,1228.09,1110.84,1236.0,1017.88,1065.0,478.44,-895.0,-507.0,-2.0,1020.95
2026-08-17,1634.52,1167.98,947.67,1295.12,1031.49,912.66,934.33,1167.64,794.9,1215.0,1108.74,1440.29,1250.51,1128.32,1236.0,1052.03,1065.0,458.62,-895.0,-507.0,-2.0,1043.47
2026-08-24,1644.34,1166.18,969.94,1320.04,1031.87,915.91,929.47,1172.16,808.73,1221.31,1109.87,1241.02,1256.59,1129.11,1236.0,1068.58,1065.0,434.43,-895.0,-507.0,-2.0,1154.49
2026-08-31,1664.73,1160.29,970.36,1319.47,1043.58,925.41,921.64,1171.54,817.18,1236.0,1130.2,1142.6,1258.9,1145.0,1236.0,1080.5,1065.0,422.5,-895.0,-507.0,-2.0,1164.87
